DATE,exports
01-01-2010,15895650070
01-02-2010,16206154703
01-03-2010,17362024888
01-04-2010,18557176048
01-05-2010,17601146021
01-06-2010,20726410219
01-07-2010,17298368295
01-08-2010,18222672390
01-09-2010,18448827623
01-10-2010,19675059719
01-11-2010,23987601652
01-12-2010,22730568523
01-01-2011,23207137913
01-02-2011,23893597625
01-03-2011,26073316739
01-04-2011,24364600878
01-05-2011,26594076739
01-06-2011,26615408440
01-07-2011,27362029114
01-08-2011,25079879817
01-09-2011,25771064788
01-10-2011,24394042574
01-11-2011,24724064821
01-12-2011,25022718049
01-01-2012,25610215031
01-02-2012,24968775993
01-03-2012,25097302732
01-04-2012,24709851127
01-05-2012,24515785082
01-06-2012,25394029557
01-07-2012,23586809022
01-08-2012,23428160558
01-09-2012,24821573295
01-10-2012,24108294893
01-11-2012,24701780092
01-12-2012,25444458829
01-01-2013,25666191740
01-02-2013,27395490787
01-03-2013,26996584848
01-04-2013,25110142710
01-05-2013,24596721277
01-06-2013,24841541424
01-07-2013,26008375399
01-08-2013,27047527098
01-09-2013,27595710452
01-10-2013,27563583282
01-11-2013,26076125420
01-12-2013,25969080931
01-01-2014,26817279328
01-02-2014,26054691357
01-03-2014,26867844152
01-04-2014,26440542275
01-05-2014,28021097624
01-06-2014,26480713988
01-07-2014,25985514409
01-08-2014,27942691250
01-09-2014,27898847585
01-10-2014,25994595746
01-11-2014,28964071294
01-12-2014,25342931324
01-01-2015,24735310780
01-02-2015,22618214925
01-03-2015,21008811989
01-04-2015,22651269216
01-05-2015,22834514324
01-06-2015,22491051696
01-07-2015,23430681457
01-08-2015,22493738058
01-09-2015,21111730995
01-10-2015,21844678143
01-11-2015,21090087343
01-12-2015,21845535248
01-01-2016,21821243726
01-02-2016,20644455539
01-03-2016,19739129820
01-04-2016,21637081042
01-05-2016,22366623571
01-06-2016,22843677030
01-07-2016,22475965802
01-08-2016,21888327908
01-09-2016,21967093591
01-10-2016,24146914585
01-11-2016,21344624029
01-12-2016,23570342592
01-01-2017,22718356751
01-02-2017,25006257345
01-03-2017,24862268696
01-04-2017,25840843255
01-05-2017,23546308063
01-06-2017,23228378990
01-07-2017,23108290770
01-08-2017,23684886817
01-09-2017,27948329299
01-10-2017,23342039892
01-11-2017,27981721826
01-12-2017,27644938313
01-01-2018,25482550372
01-02-2018,26672976726
01-03-2018,25431919019
01-04-2018,26889130771
01-05-2018,28440517327
01-06-2018,27828641632
01-07-2018,26302805739
01-08-2018,28203463555
01-09-2018,27665887464
01-10-2018,26821957631
01-11-2018,27774244978
01-12-2018,27668411565
01-01-2019,26505193368
01-02-2019,27508546558
01-03-2019,28909088244
01-04-2019,26594869259
01-05-2019,29327102746
01-06-2019,26031521152
01-07-2019,26379236236
01-08-2019,26743608810
01-09-2019,25471684384
01-10-2019,26348736543
01-11-2019,27866353275
01-12-2019,26529578081
01-01-2020,25953854582
01-02-2020,27790275783
01-03-2020,18696618074
01-04-2020,10375515440
01-05-2020,19416705907
01-06-2020,22208347683
01-07-2020,23741611567
01-08-2020,23834883596
01-09-2020,26617682198
01-10-2020,25398142780
01-11-2020,25561898111
01-12-2020,26274570244
01-01-2021,28458546023
01-02-2021,28273176902
01-03-2021,29764146493
01-04-2021,31392123190
01-05-2021,32670130438
01-06-2021,32832739503
01-07-2021,36132641574
01-08-2021,34344449718
01-09-2021,32660280292
01-10-2021,36918219850
01-11-2021,33980291125
01-12-2021,36486848817
01-01-2022,35654993606
01-02-2022,38042055545
01-03-2022,38153369604
01-04-2022,41148292442
01-05-2022,38946717258
01-06-2022,42810021559
01-07-2022,39669132542
01-08-2022,34402091089
01-09-2022,34240199459
