Date,Money Supply
1960-12-31,38780606187.166664
1961-12-31,39379622572.083336
1962-12-31,43024151708.5
1963-12-31,46654703706.666664
1964-12-31,51579931645.583336
1965-12-31,56547602119.833336
1966-12-31,62985819115.916664
1967-12-31,68864564736.66667
1968-12-31,75927943891.75
1969-12-31,85479092107.33333
1970-12-31,99078922757.33333
1971-12-31,114083333333.33333
1972-12-31,132083333333.33333
1973-12-31,158250000000.0
1974-12-31,182166666666.66666
1975-12-31,203500000000.0
1976-12-31,240000000000.0
1977-12-31,290000000000.0
1978-12-31,346500000000.0
1979-12-31,420416666666.6667
1980-12-31,489083333333.3333
1981-12-31,578833333333.3334
1982-12-31,659833333333.3334
1983-12-31,773083333333.3334
1984-12-31,912916666666.6666
1985-12-31,1069916666666.6666
1986-12-31,1253333333333.3333
1987-12-31,1475000000000.0
1988-12-31,1725833333333.3333
1989-12-31,2045833333333.3333
1990-12-31,2410000000000.0
1991-12-31,2798333333333.3335
1992-12-31,3326666666666.6665
1993-12-31,3828333333333.3335
1994-12-31,4574166666666.667
1995-12-31,5344166666666.667
1996-12-31,6180833333333.333
1997-12-31,7229166666666.667
1998-12-31,8610833333333.333
1999-12-31,10170000000000.0
2000-12-31,11791666666666.666
2001-12-31,13741666666666.666
2002-12-31,15900000000000.0
2003-12-31,17991666666666.668
2004-12-31,20558333333333.332
2005-12-31,23641666666666.668
2006-12-31,28091666666666.668
2007-12-31,34233333333333.332
2008-12-31,41508333333333.336
2009-12-31,49791666666666.664
2010-12-31,57900000000000.0
2011-12-31,67450000000000.0
2012-12-31,76575000000000.0
2013-12-31,86808333333333.33
2014-12-31,97883333333333.33
2015-12-31,108833333333333.33
2016-12-31,119750000000000.0
2017-12-31,128166666666666.67
2018-12-31,140583333333333.33
